NACIONALIDAD,PAÍS,PORCENTAJE DE POBLACIÓN CON RESPECTO A AMÉRICA,POBLACIÓN TOTAL DEL PAÍS
ANTIGUANO,ANTIGUA Y BARBUDA,0.00959,97.929
ARGENTINO,ARGENTINA,4.4303,45.195.774
BAHAMEÑO,LAS BAHAMAS,0.0385,393.244
BARBADENSE,BARBADOS,0.0281,287.375
BELICEÑO,BELICE,0.0389,397.628
BOLIVIANO,BOLIVIA,1.1442,11.673.021
BRASILEÑO,BRASIL,20.836,212.559.417
CANADIENSE,CANADÁ,3.3699,37.742.154
CHILENO,CHILE,1.8738,19.116.201
COLOMBIANO,COLOMBIA,4.9878,50.882.891
COSTARRICENSE,COSTA RICA,0.4993,5.094.118
CUBANO,CUBA,1.1103,11.326.616
DOMINIQUÉS,DOMINICA,0.00705,71.986
ECUATORIANO,ECUADOR,1.7294,17.643.054
SALVADOREÑO,EL SALVADOR,0.6358,6.486.205
ESTADOUNIDENSE,ESTADOS UNIDOS,32.4467,331.002.651
GRANADINO,GRANADA,0.01103,112.523
GUATEMALTECO,GUATEMALA,1.75618,17.915.568
GUYANÉS,GUYANA,0.077102,786.552
HAITIANO,HAITÍ,1.1177,11.402.528
HONDUREÑO,HONDURAS,0.9709,9.904.607
JAMAIQUINO,JAMAICA,0.29027,2.961.167
MEXICANO,MÉXICO,12.3526,126.014.024
NICARAGÜENSE,NICARAGUA,0.64937,6.624.554
PANAMEÑO,PANAMÁ,0.42295,4.314.767
PARAGUAYO,PARAGUAY,0.69917,7.132.538
PERUANO,PERÚ,3.2494,33.149.016
PUERTORRIQUEÑO,PUERTO RICO,0.28043,2.860.853
DOMINICANO,REPÚBLICA DOMINICANA,1.06337,10.847.910
SANCRISTOBALEÑO,SAN CRISTÓBAL Y NIEVES,0.005214,53.199
SANVICENTINO,SAN VICENTE Y LAS GRANADINAS,0.01087,110.940
SANTALUCENSE,SANTA LUCÍA,0.0180001,183.627
SURINAMÉS,SURINAM,0.057504,586.623
TRINITENSE,TRINIDAD Y TOBAGO,0.13718,1.399.488
URUGUAYO,URUGUAY,0.34051,3.473.730
VENEZOLANO,VENEZUELA,2.78745,28.435.940
